استان,نام استان,شهرستان,نام شهرستان,بخش,نام بخش
23,تهران,14,فيروزكوه,02,مركزئ
23,تهران,16,قدس,01,مركزي
23,تهران,21,قرچک,01,مرکزي
23,تهران,17,ملارد,01,مركزي
23,تهران,17,ملارد,02,صفا دشت
23,تهران,06,ورامين,02,جوادآباد
23,تهران,06,ورامين,03,مركزئ
14,چهارمحال وبختياري,05,اردل,01,مرکزي
14,چهارمحال وبختياري,05,اردل,02,ميانکوه
14,چهارمحال وبختياري,01,بروجن,02,گندمان
14,چهارمحال وبختياري,01,بروجن,03,مرکزي
14,چهارمحال وبختياري,01,بروجن,04,بلداجي
14,چهارمحال وبختياري,09,بن,01,مرکزي
14,چهارمحال وبختياري,09,بن,02,شيدا
14,چهارمحال وبختياري,10,خانميرزا,01,مرکزي
14,چهارمحال وبختياري,10,خانميرزا,02,ارمند
14,چهارمحال وبختياري,08,سامان,01,مرکزي
14,چهارمحال وبختياري,08,سامان,02,زاينده رود
14,چهارمحال وبختياري,02,شهرکرد,02,مرکزي
14,چهارمحال وبختياري,02,شهرکرد,05,لاران
14,چهارمحال وبختياري,02,شهرکرد,06,فرخشهر
14,چهارمحال وبختياري,03,فارسان,02,مرکزي
14,چهارمحال وبختياري,03,فارسان,03,بابا حيدر
14,چهارمحال وبختياري,03,فارسان,04,جونقان
14,چهارمحال وبختياري,06,کوهرنگ,01,بازفت
14,چهارمحال وبختياري,06,کوهرنگ,02,مرکزي
14,چهارمحال وبختياري,06,کوهرنگ,03,دوآب صمصامي
14,چهارمحال وبختياري,07,کيار,01,مرکزي
14,چهارمحال وبختياري,07,کيار,02,ناغان
14,چهارمحال وبختياري,04,لردگان,01,فلارد
14,چهارمحال وبختياري,04,لردگان,02,مرکزي
14,چهارمحال وبختياري,04,لردگان,04,منج
14,چهارمحال وبختياري,04,لردگان,05,روددشت
29,خراسان جنوبي,08,بشرويه,01,مركزي
29,خراسان جنوبي,08,بشرويه,02,ارسك
29,خراسان جنوبي,01,بيرجند,04,مركزئ
29,خراسان جنوبي,10,خوسف,01,مرکزي
29,خراسان جنوبي,10,خوسف,02,جلگه ماژان
29,خراسان جنوبي,02,درميان,01,قهستان
29,خراسان جنوبي,02,درميان,02,گزيك
29,خراسان جنوبي,02,درميان,03,مركزئ
29,خراسان جنوبي,09,زيرکوه,01,مرکزي
29,خراسان جنوبي,09,زيرکوه,02,زهان
29,خراسان جنوبي,09,زيرکوه,03,شاسکوه
29,خراسان جنوبي,06,سرايان,01,آيسك
29,خراسان جنوبي,06,سرايان,02,سه قلعه
29,خراسان جنوبي,03,سربيشه,01,مركزئ
29,خراسان جنوبي,03,سربيشه,02,مود
29,خراسان جنوبي,03,سربيشه,03,درح
29,خراسان جنوبي,11,طبس,01,دستگردان
29,خراسان جنوبي,11,طبس,02,مركزئ
29,خراسان جنوبي,11,طبس,03,ديهوك
29,خراسان جنوبي,07,فردوس,03,اسلاميه
29,خراسان جنوبي,04,قائنات,02,مركزئ
29,خراسان جنوبي,04,قائنات,03,نيمبلوك
29,خراسان جنوبي,04,قائنات,05,سده
29,خراسان جنوبي,05,نهبندان,01,شوسف
